# Crimson Skies - IDA FLIRT-identified names (347 functions, VC6/MFC42/std/ATL)
# Format: 0xADDRESS name  -- adopt the non-CRT ones into functions.json
# Regenerate: tools/crimson_gap.py, then export the ida_name column of
#             crimson_ida_names.csv (see handoffs/crimsonskies.md).
0x005F6B5C ?CharToItem@CListBox@@UAEHII@Z
0x005F6B62 ?VKeyToItem@CListBox@@UAEHII@Z
0x005F6B68 ?DeleteItem@CListBox@@UAEXPAUtagDELETEITEMSTRUCT@@@Z
0x005F6B6E ?CompareItem@CListBox@@UAEHPAUtagCOMPAREITEMSTRUCT@@@Z
0x005F6B74 ?MeasureItem@CListBox@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z
0x005F6B7A ?DrawItem@CListBox@@UAEXPAUtagDRAWITEMSTRUCT@@@Z
0x005F6B80 ?OnChildNotify@CListBox@@MAEHIIJPAJ@Z
0x005F6B86 ?GetRuntimeClass@CListBox@@UBEPAUCRuntimeClass@@XZ
0x005F6B8C ?EndDialog@CDialog@@QAEXH@Z
0x005F6B92 ??H@YG?AVCString@@ABV0@PBD@Z
0x005F6B98 ?SetWindowTextA@CWnd@@QAEXPBD@Z
0x005F6B9E ?GetBuffer@CString@@QAEPADH@Z
0x005F6BA4 ?GetText@CListBox@@QBEXHAAVCString@@@Z
0x005F6BAA ??YCString@@QAEABV0@ABV0@@Z
0x005F6BB0 ?MoveWindow@CWnd@@QAEXHHHHH@Z
0x005F6BB6 ?ScreenToClient@CWnd@@QBEXPAUtagRECT@@@Z
0x005F6BBC ?FromHandle@CWnd@@SGPAV1@PAUHWND__@@@Z
0x005F6BC2 ?ClientToScreen@CWnd@@QBEXPAUtagRECT@@@Z
0x005F6BC8 ?ModifyStyle@CWnd@@QAEHKKI@Z
0x005F6BCE ?GetWindowTextA@CWnd@@QBEXAAVCString@@@Z
0x005F6BD4 ?DDX_Check@@YGXPAVCDataExchange@@HAAH@Z
0x005F6BDA ?DDX_Text@@YGXPAVCDataExchange@@HAAH@Z
0x005F6BE0 ?EnableWindow@CWnd@@QAEHH@Z
0x005F6BE6 ?DrawItem@CTabCtrl@@UAEXPAUtagDRAWITEMSTRUCT@@@Z
0x005F6BEC ?OnChildNotify@CTabCtrl@@MAEHIIJPAJ@Z
0x005F6BF2 ?GetMessageMap@CTabCtrl@@MBEPBUAFX_MSGMAP@@XZ
0x005F6BF8 ?GetRuntimeClass@CTabCtrl@@UBEPAUCRuntimeClass@@XZ
0x005F6BFE ?Create@CDialog@@QAEHPBDPAVCWnd@@@Z
0x005F6C04 ?Format@CString@@QAAXPBDZZ
0x005F6C0A ?ExitHelpMode@CFrameWnd@@UAEXXZ
0x005F6C10 ?DelayUpdateFrameMenu@CFrameWnd@@UAEXPAUHMENU__@@@Z
0x005F6C16 ?GetDefaultAccelerator@CFrameWnd@@UAEPAUHACCEL__@@XZ
0x005F6C1C ?OnUpdateFrameMenu@CFrameWnd@@UAEXPAUHMENU__@@@Z
0x005F6C22 ?OnUpdateFrameTitle@CFrameWnd@@UAEXH@Z
0x005F6C28 ?OnCreateClient@CFrameWnd@@MAEHPAUtagCREATESTRUCTA@@PAUCCreateContext@@@Z
0x005F6C2E ?NegotiateBorderSpace@CFrameWnd@@UAEHIPAUtagRECT@@@Z
0x005F6C34 ?GetMessageBar@CFrameWnd@@UAEPAVCWnd@@XZ
0x005F6C3A ?OnSetPreviewMode@CFrameWnd@@UAEXHPAUCPrintPreviewState@@@Z
0x005F6C40 ?ActivateFrame@CFrameWnd@@UAEXH@Z
0x005F6C46 ?RecalcLayout@CFrameWnd@@UAEXH@Z
0x005F6C4C ?GetMessageString@CFrameWnd@@UBEXIAAVCString@@@Z
0x005F6C52 ?GetActiveFrame@CFrameWnd@@UAEPAV1@XZ
0x005F6C58 ?GetActiveDocument@CFrameWnd@@UAEPAVCDocument@@XZ
0x005F6C5E ?LoadFrame@CFrameWnd@@UAEHIKPAVCWnd@@PAUCCreateContext@@@Z
0x005F6C64 ?IsFrameWnd@CFrameWnd@@UBEHXZ
0x005F6C6A ?PostNcDestroy@CFrameWnd@@MAEXXZ
0x005F6C70 ?PreTranslateMessage@CFrameWnd@@UAEHPAUtagMSG@@@Z
0x005F6C76 ?EndModalState@CFrameWnd@@UAEXXZ
0x005F6C7C ?BeginModalState@CFrameWnd@@UAEXXZ
0x005F6C82 ?OnCommand@CFrameWnd@@MAEHIJ@Z
0x005F6C88 ?PreCreateWindow@CFrameWnd@@MAEHAAUtagCREATESTRUCTA@@@Z
0x005F6C8E ?OnCmdMsg@CFrameWnd@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
0x005F6C94 ?MeasureItem@CMenu@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z
0x005F6C9A ?DrawItem@CMenu@@UAEXPAUtagDRAWITEMSTRUCT@@@Z
0x005F6CA0 ?GetRuntimeClass@CMenu@@UBEPAUCRuntimeClass@@XZ
0x005F6CA6 ?DestroyMenu@CMenu@@QAEHXZ
0x005F6CAC ?CenterWindow@CWnd@@QAEXPAV1@@Z
0x005F6CB2 ?Detach@CMenu@@QAEPAUHMENU__@@XZ
0x005F6CB8 ?Attach@CMenu@@QAEHPAUHMENU__@@@Z
0x005F6CBE ?AfxFindResourceHandle@@YGPAUHINSTANCE__@@PBD0@Z
0x005F6CC4 ?CreateEx@CWnd@@QAEHKPBD0KHHHHPAUHWND__@@PAUHMENU__@@PAX@Z
0x005F6CCA ?GetRuntimeClass@CObject@@UBEPAUCRuntimeClass@@XZ
0x005F6CD0 ?Default@CWnd@@IAEJXZ
0x005F6CD6 ?OnCreate@CFrameWnd@@IAEHPAUtagCREATESTRUCTA@@@Z
0x005F6CDC ?DeleteObject@CGdiObject@@QAEHXZ
0x005F6CE2 ?OnDestroy@CFrameWnd@@IAEXXZ
0x005F6CE8 ?ShowWindow@CWnd@@QAEHH@Z
0x005F6CEE ?DoModal@CDialog@@UAEHXZ
0x005F6CF4 ?DrawItem@CButton@@UAEXPAUtagDRAWITEMSTRUCT@@@Z
0x005F6CFA ?OnChildNotify@CButton@@MAEHIIJPAJ@Z
0x005F6D00 ?GetRuntimeClass@CButton@@UBEPAUCRuntimeClass@@XZ
0x005F6D06 ?GetRuntimeClass@CStatic@@UBEPAUCRuntimeClass@@XZ
0x005F6D0C ??1CStatic@@UAE@XZ
0x005F6D12 ??1CButton@@UAE@XZ
0x005F6D18 ?Empty@CString@@QAEXXZ
0x005F6D1E ?TrimRight@CString@@QAEXXZ
0x005F6D24 ?TrimLeft@CString@@QAEXXZ
0x005F6D2A ?Right@CString@@QBE?AV1@H@Z
0x005F6D30 ?Find@CString@@QBEHPBD@Z
0x005F6D36 ?Left@CString@@QBE?AV1@H@Z
0x005F6D3C ??H@YG?AVCString@@PBDABV0@@Z
0x005F6D42 ??H@YG?AVCString@@ABV0@0@Z
0x005F6D48 ?WinHelpA@CWinApp@@UAEXKI@Z
0x005F6D4E ?OnDDECommand@CWinApp@@UAEHPAD@Z
0x005F6D54 ?DoWaitCursor@CWinApp@@UAEXH@Z
0x005F6D5A ?DoMessageBox@CWinApp@@UAEHPBDII@Z
0x005F6D60 ?SaveAllModified@CWinApp@@UAEHXZ
0x005F6D66 ?InitApplication@CWinApp@@UAEHXZ
0x005F6D6C ?AddToRecentFileList@CWinApp@@UAEXPBD@Z
0x005F6D72 ?OpenDocumentFile@CWinApp@@UAEPAVCDocument@@PBD@Z
0x005F6D78 ?Delete@CWinThread@@UAEXXZ
0x005F6D7E ?GetMainWnd@CWinThread@@UAEPAVCWnd@@XZ
0x005F6D84 ?ProcessMessageFilter@CWinThread@@UAEHHPAUtagMSG@@@Z
0x005F6D8A ?ProcessWndProcException@CWinApp@@UAEJPAVCException@@PBUtagMSG@@@Z
0x005F6D90 ?IsIdleMessage@CWinThread@@UAEHPAUtagMSG@@@Z
0x005F6D96 ?OnIdle@CWinApp@@UAEHJ@Z
0x005F6D9C ?PumpMessage@CWinThread@@UAEHXZ
0x005F6DA2 ?OnFinalRelease@CCmdTarget@@UAEXXZ
0x005F6DA8 ?GetRuntimeClass@CWinApp@@UBEPAUCRuntimeClass@@XZ
0x005F6DAE ?Enable3dControls@CWinApp@@IAEHXZ
0x005F6DB4 ?AfxRegisterClass@@YGHPAUtagWNDCLASSA@@@Z
0x005F6DBA ?AfxGetModuleState@@YGPAVAFX_MODULE_STATE@@XZ
0x005F6DC0 ?ExitInstance@CWinApp@@UAEHXZ
0x005F6DC6 ?PreTranslateMessage@CWinThread@@UAEHPAUtagMSG@@@Z
0x005F6DCC ??1CWinApp@@UAE@XZ
0x005F6DD2 ??0CWinApp@@QAE@PBD@Z
0x005F6DD8 ?GetRuntimeClass@CBitmap@@UBEPAUCRuntimeClass@@XZ
0x005F6DDE ??0CFrameWnd@@QAE@XZ
0x005F6DE4 ?GetRuntimeClass@CGdiObject@@UBEPAUCRuntimeClass@@XZ
0x005F6DEA ??1CFrameWnd@@UAE@XZ
0x005F6DF0 ?OnClose@CFrameWnd@@IAEXXZ
0x005F6DF6 ??1CPaintDC@@UAE@XZ
0x005F6DFC ??0CPaintDC@@QAE@PAVCWnd@@@Z
0x005F6E02 ?OnSize@CFrameWnd@@IAEXIHH@Z
0x005F6E08 ?Attach@CGdiObject@@QAEHPAX@Z
0x005F6E0E ?OnActivate@CFrameWnd@@IAEXIPAVCWnd@@H@Z
0x005F6E14 __onexit
0x005F6E40 _atexit
0x005F6E52 __CxxFrameHandler
0x005F6E60 _ftol
0x005F6E66 ??_M@YGXPAXIHP6EX0@Z@Z
0x005F6EE6 ?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z
0x005F6F5A ??_L@YGXPAXIHP6EX0@Z1@Z
0x005F6FE0 __alloca_probe
0x005F7010 _purecall
0x005F7016 _CIpow
0x005F701C ??_Gtype_info@@UAEPAXI@Z
0x005F7038 __RTDynamicCast
0x005F703E _CIacos
0x005F7044 __RTtypeid
0x005F704A _CIasin
0x005F7050 _CIfmod
0x005F7056 start
0x005F71C0 __alldiv
0x005F7270 __allmul
0x005F72A4 strlen
0x005F72AA strcmp
0x005F72B0 memcpy
0x005F72B6 memset
0x005F72BC abs
0x005F72C2 __dllonexit
0x005F72C8 _except_handler3
0x005F72CE ?terminate@@YAXXZ
0x005F72D4 ??1type_info@@UAE@XZ
0x005F72DA _XcptFilter
0x005F72E0 _initterm
0x005F72E6 __setdefaultprecision
0x005F72FA _controlfp
0x005F7300 GetOpenFileNameA
0x005F7306 GetSaveFileNameA
0x005F730C ??Hstd@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@PBD@Z
